conversation_id;timestamp;sender;receiver;message
1;2023-05-02T10:44:49;47189;87478;matrix
2;2023-05-02T07:56:45;91743;16957;convergence Peso Assistant
3;2023-05-02T05:31:34;37240;78509;ADP Tuna
4;2023-05-02T04:15:35;78329;34203;contingency
5;2023-05-02T14:43:54;23862;94325;Supervisor
6;2023-05-02T22:38:06;6708;86953;primary Liechtenstein
7;2023-05-02T22:28:56;13372;63488;Licensed
8;2023-05-02T21:39:05;11466;88092;pink Granite
9;2023-05-02T14:04:43;83903;63624;Wooden Market Central
10;2023-05-02T14:34:23;77576;30704;Chicken 24/365 HTTP
