id;name;is_group;created_by;created_on;modified_by;modified_on
1;Car customized;false;drive Sleek card;2023-05-02T18:29:36;harness payment orchid;2023-05-02T23:52:41
2;Producer Computer framework;false;Bolivar;2023-05-02T18:01:16;FTP;2023-05-02T14:47:56
3;PCI Investment France;true;Rubber National Buckinghamshire;2023-05-02T17:07:42;approach;2023-05-02T19:43:49
4;Texas Games;false;Integration Organized Bedfordshire;2023-05-02T04:28:58;Plastic XSS;2023-05-02T04:18:10
5;Clothing infomediaries;true;Wisconsin;2023-05-02T10:15:19;Kentucky Auto capacity;2023-05-02T08:22:07
6;e-services quantifying;false;Buckinghamshire Cambridgeshire;2023-05-02T09:54:49;Michigan pink;2023-05-02T19:25:53
7;Industrial Awesome Hat;false;repurpose Cambridgeshire;2023-05-02T19:56:03;Movies neural;2023-05-02T11:29:26
8;Concrete monitor California;false;Refined;2023-05-03T03:11:09;empower feed;2023-05-02T06:47:48
9;Handcrafted Personal;false;Outdoors Avon Customer;2023-05-02T16:53:22;Liberian Analyst Shirt;2023-05-02T15:43:31
10;Grocery protocol;true;Dominica copying;2023-05-02T22:10:28;Accounts Metal Hat;2023-05-02T06:45:02
