id;loan_user_id;debt_user_id;cost;deadline;dat_of_payment
1;16137;48973;72550;2023-05-02T17:08:43;2023-05-02T10:34:47
2;91223;77335;70252;2023-05-02T08:28:53;2023-05-03T00:52:45
3;90908;9182;39930;2023-05-02T22:19:52;2023-05-02T20:10:35
4;39619;81071;49052;2023-05-02T21:55:53;2023-05-02T14:51:11
5;40715;23392;49453;2023-05-02T13:19:37;2023-05-02T13:04:16
6;35161;52326;45466;2023-05-02T18:46:26;2023-05-02T19:42:22
7;58056;4421;45375;2023-05-02T18:47:54;2023-05-02T10:17:24
8;56948;69060;26972;2023-05-02T13:51:10;2023-05-03T01:08:02
9;48662;90378;77858;2023-05-02T19:29:47;2023-05-02T14:30:22
10;93738;54676;81027;2023-05-02T23:58:40;2023-05-02T13:44:27
