relationship_id;owner;partner;status;created_by;created_on;modified_by;modified_on
1;95682;98769;97304;matrix;2023-05-02T17:04:43;Salad methodical;2023-05-02T14:26:05
2;4604;88571;7171;Practical hack;2023-05-02T18:55:46;cultivate invoice;2023-05-02T15:44:24
3;9296;35430;88225;synthesize Concrete IB;2023-05-02T06:24:02;Passage Belarussian purple;2023-05-02T05:28:57
4;5745;28643;66404;connecting initiative Keyboard;2023-05-03T02:25:13;homogeneous Cambridgeshire Associate;2023-05-02T19:04:53
5;84331;47335;1477;Salad SAS;2023-05-02T18:57:31;haptic violet local;2023-05-02T15:46:26
6;23431;57966;5416;Philippines tangible;2023-05-02T18:18:15;Specialist Cotton;2023-05-02T10:04:16
7;63287;70568;42650;Practical Toys;2023-05-03T02:45:02;Granite;2023-05-03T02:56:14
8;39386;61746;16933;Extensions;2023-05-02T07:04:00;Officer Center;2023-05-03T03:17:34
9;92791;45123;68953;Gorgeous Baby Republic;2023-05-02T10:46:30;Berkshire protocol;2023-05-02T20:33:41
10;93721;1893;29392;withdrawal;2023-05-02T08:40:56;productize;2023-05-02T16:28:25
